Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
80," Hulstijn, RF Young, L Ortega, M Bigelow…",Bridging the gap: Cognitive and social approaches to research in second language learning and teaching,190,2014, cambridge.org, Studies in Second …,https://www.cambridge.org/core/journals/studies-in-second-language-acquisition/article/bridging-the-gap/A30F7F790E2C111442F4D017C9F83032,19
132,Zhou,Ontology learning: state of the art and open issues,323,2007, Springer, Information Technology and Management,https://link.springer.com/article/10.1007/s10799-007-0019-5,19
109,"Kurilovas, S Kubilinskiene, V Dagiene",Web 3.0–Based personalisation of learning objects in virtual learning environments,193,2014, Elsevier, Computers in Human Behavior,https://www.sciencedirect.com/science/article/pii/S0747563213002781,19
249,"Hitzler, A Gangemi, K Janowicz",Ontology engineering with ontology design patterns: foundations and applications,151,2016, books.google.com,,https://books.google.com/books?hl=en&lr=&id=9hChDQAAQBAJ&oi=fnd&pg=PP1&dq=ontology+cognitive+learning&ots=mdICXo3dxX&sig=BvJEEgIuYPeuGHsEAeqw-jwftHE,19
44, Poldrack,The role of fMRI in cognitive neuroscience: where do we stand?,295,2008, Elsevier, Current opinion in neurobiology,https://www.sciencedirect.com/science/article/pii/S0959438808000615,18
112, Clark,What would a theory of interprofessional education look like? Some suggestions for developing a theoretical framework for teamwork training,318,2006, Taylor & Francis, Journal of interprofessional care,https://www.tandfonline.com/doi/abs/10.1080/13561820600916717,18
111,"Berends, K Boersma, M Weggeman",The structuration of organizational learning,369,2003, journals.sagepub.com, Human relations,https://journals.sagepub.com/doi/pdf/10.1177/0018726703569001,18
94, Poldrack,Mapping mental function to brain structure: how can cognitive neuroimaging succeed?,257,2010, journals.sagepub.com, Perspectives on psychological science,https://journals.sagepub.com/doi/pdf/10.1177/1745691610388777,18
160, Poldrack,The future of fMRI in cognitive neuroscience,222,2012, Elsevier, Neuroimage,https://www.sciencedirect.com/science/article/pii/S1053811911008949,18
163,"Smith, DM Mark",Do mountains exist? Towards an ontology of landforms,368,2003, journals.sagepub.com, … and Planning B: Planning and Design,https://journals.sagepub.com/doi/pdf/10.1068/b12821,18
100,"Maedche, S Staab",Ontology learning,368,2004, Springer, Handbook on ontologies,https://link.springer.com/chapter/10.1007/978-3-540-24750-0_9,18
14," Slotta, MTH Chi",Helping students understand challenging topics in science through ontology training,299,2006, Taylor & Francis, Cognition and instruction,https://www.tandfonline.com/doi/abs/10.1207/s1532690xci2402_3,17
104,"Gemino, Y Wand",Complexity and clarity in conceptual modeling: Comparison of mandatory and optional properties,316,2005, Elsevier, Data & Knowledge Engineering,https://www.sciencedirect.com/science/article/pii/S0169023X04002332,17
186,"Lindeman, AM Svedhol","Ontological confusions but not mentalizing abilities predict religious belief, paranormal belief, and belief in supernatural purpose",152,2015, Elsevier, Cognition,https://www.sciencedirect.com/science/article/pii/S0010027714001899,17
219,"Porzel, R Malaka",A task-based approach for ontology evaluation,345,2004, academia.edu, ECAI Workshop on Ontology Learning and …,https://www.academia.edu/download/38765744/porzel_and_malaka2.pdf,17
200,D Neel,Analysis and design of cognitive radio networks and distributed radio resource management algorithms,311,2006, vtechworks.lib.vt.edu,,https://vtechworks.lib.vt.edu/handle/10919/29998,17
205,"Falquet, C Métral, J Teller, C Tweed…",An introduction to ontologies and ontology engineering,221,2011, Springer, Ontologies in Urban …,https://link.springer.com/chapter/10.1007/978-0-85729-724-2_2,17
48,Klemenčič,What is student agency? An ontological exploration in the context of research on student engagement,157,2015, academia.edu, Student engagement in Europe: Society  higher …,https://www.academia.edu/download/45701529/What_is_student_agency_An_ontological_ex20160517-21154-1iz9zoo.pdf,17
140," Lantolf, KE Johnson",Extending Firth and Wagner's (1997) ontological perspective to L2 classroom praxis and teacher education,272,2007, Wiley Online Library, The Modern Language Journal,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-4781.2007.00675.x,16
13,Paquette,An ontology and a software framework for competency modeling and management,269,2007, JSTOR, Journal of Educational Technology & Society,https://www.jstor.org/stable/pdf/jeductechsoci.10.3.1.pdf,16
72,"Fenwick, R Edwards",Performative ontologies. Sociomaterial approaches to researching adult education and lifelong learning,180,2013, pedocs.de, … for Research on the Education and Learning of …,https://www.pedocs.de/frontdoor.php?source_opus=7706,16
127,"Chen, C Nugent, G Okeyo",An ontology-based hybrid approach to activity modeling for smart homes,178,2013, ieeexplore.ieee.org, IEEE Transactions on human …,https://ieeexplore.ieee.org/abstract/document/6689346/,16
190,"Shamsfard, AA Barforoush",Learning ontologies from natural language texts,324,2004, Elsevier,computer …,https://www.sciencedirect.com/science/article/pii/S1071581903001368,16
184,"Velardi, R Navigli, A Cucchiarelli, F Neri","Evaluation of OntoLearn, a methodology for automatic learning of domain ontologies",298,2005, Citeseer, Ontology Learning from Text …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=92edeca81f92fa0997f656be0470bc3eb23fe4b8,16
65,"Lemaignan, R Ros, L Mösenlechner…","ORO, a knowledge management platform for cognitive architectures in robotics",218,2010, ieeexplore.ieee.org, 2010 IEEE/RSJ …,https://ieeexplore.ieee.org/abstract/document/5649547/,16
239,"Gemino, Y Wand",A framework for empirical evaluation of conceptual modeling techniques,311,2004, Springer, Requirements Engineering,https://link.springer.com/article/10.1007/s00766-004-0204-6,16
67," Matheson, LW Barsalou",Embodiment and grounding in cognitive neuroscience,92,2018, barsaloulab.org, … psychology and cognitive …,http://barsaloulab.org/Online_Articles/2018-Matheson_Barsalou-Stevens_Handbook.pdf,15
11,"Gupta, D Hammer, EF Redish",The case for dynamic models of learners' ontologies in physics,205,2010, Taylor & Francis, The Journal of the Learning …,https://www.tandfonline.com/doi/abs/10.1080/10508406.2010.491751,15
110," Sim, AHB Duffy",Towards an ontology of generic engineering design activities,317,2003, Springer, Research in Engineering Design,https://link.springer.com/article/10.1007/s00163-003-0037-1,15
102,"Farrar, DT Langendoen",A linguistic ontology for the semantic web,318,2003, emeld.net, GLOT international,http://emeld.net/documents/GLOT-LinguisticOntology.pdf,15
195,"de Freitas, N Sinclair",New materialist ontologies in mathematics education: The body in/of mathematics,170,2013, Springer, Educational Studies in Mathematics,https://link.springer.com/article/10.1007/s10649-012-9465-z,15
18, Kincheloe,Critical ontology: Visions of selfhood and curriculum,191,2011, brill.com, Key works in critical pedagogy,https://brill.com/downloadpdf/book/edcoll/9789460913976/BP000018.pdf,15
81,Schraw,Conceptual integration and measurement of epistemological and ontological beliefs in educational research,160,2013, downloads.hindawi.com, International Scholarly Research Notices,https://downloads.hindawi.com/archive/2013/327680.pdf,15
42," Greene, BY Seung",Modeling and measuring epistemic cognition: A qualitative re-investigation,139,2014, Elsevier, Contemporary Educational Psychology,https://www.sciencedirect.com/science/article/pii/S0361476X13000398,14
176, Yeo,Revisiting the roots of learning organization: A synthesis of the learning organization literature,275,2005, emerald.com, The Learning Organization,https://www.emerald.com/insight/content/doi/10.1108/09696470510599145/full/html?queryID=13%2F5410103,14
7,"Gaeta, F Orciuoli, P Ritrovato",Advanced ontology management system for personalised e-Learning,217,2009, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705109000227,14
41,"Reimann, L Markauskaite…",e‐R esearch and learning theory: What do sequence and process mining methods contribute?,137,2014, Wiley Online Library, British Journal of …,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.12146,14
71,"K Lau, D Song, Y Li, TCH Cheung…",Toward a fuzzy domain ontology extraction method for adaptive e-learning,216,2008, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/4564463/,14
221,"Sánchez, A Moreno",Learning non-taxonomic relationships from web documents for domain ontology construction,230,2008, Elsevier, Data & Knowledge Engineering,https://www.sciencedirect.com/science/article/pii/S0169023X07001838,14
93,"Vesin, M Ivanović, A Klašnj",Protus 2.0: Ontology-based semantic recommendation in programming tutoring system,172,2012, Elsevier, Expert Systems with …,https://www.sciencedirect.com/science/article/pii/S0957417412006495,14
50," Turner, AR Laird",The cognitive paradigm ontology: design and application,159,2012, Springer, Neuroinformatics,https://link.springer.com/article/10.1007/s12021-011-9126-x,13
152,"Liu, WR Hogan, RS Crowley",Natural language processing methods and systems for biomedical ontology learning,170,2011, Elsevier, Journal of biomedical informatics,https://www.sciencedirect.com/science/article/pii/S153204641000105X,13
19," Greene, J Torne","Empirical evidence regarding relations among a model of epistemic and ontological cognition, academic performance, and educational level.",179,2010, psycnet.apa.org, Journal of educational …,https://psycnet.apa.org/record/2010-02314-018,13
114,Thompson,"Ontological shift or ontological drift? Reality claims, epistemological frameworks, and theory generation in organization studies",169,2011, journals.aom.org, Academy of Management Review,https://journals.aom.org/doi/abs/10.5465/amr.2010.0070,13
194,Mason,Introduction: Bridging the cognitive and sociocultural approaches in research on conceptual change: Is it feasible?,223,2007, Taylor & Francis, Educational psychologist,https://www.tandfonline.com/doi/abs/10.1080/00461520709336914,13
103,"Kaufmann, A Bernstein, R Zumstein",Querix: A natural language interface to query ontologies based on clarification dialogs,239,2006, Citeseer, 5th international semantic web …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0c175b51d158321f332d7c08c861eaf07fb6aabc,13
34,"Lenartowicz, DJ Kalar, E Congdon…",Towards an ontology of cognitive control,166,2010, Wiley Online Library, Topics in cognitive …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1756-8765.2010.01100.x,12
106,"Jiang, AH Tan",Learning and inferencing in user ontology for personalized Semantic Web search,177,2009, Elsevier, Information sciences,https://www.sciencedirect.com/science/article/pii/S0020025509001595,12
82, Kincheloe,Critical ontology and indigenous ways of being: Forging a postcolonial curriculum,158,2011, brill.com, Key works in critical pedagogy,https://brill.com/downloadpdf/book/edcoll/9789460913976/BP000026.pdf,12
175,"Shamsfard, AA Barforoush",The state of the art in ontology learning: a framework for comparison,253,2003, cambridge.org, The Knowledge Engineering Review,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/state-of-the-art-in-ontology-learning-a-framework-for-comparison/8DFFAC6AFFD7C9014497861098A495DD,12
207,"Stadtler, R Bromme",Effects of the metacognitive computer-tool met. a. ware on the web search of laypersons,187,2008, Elsevier, Computers in Human Behavior,https://www.sciencedirect.com/science/article/pii/S0747563207000362,12
212,"Venville, SJ Gribble, J Donovan",An exploration of young children's understandings of genetics concepts from ontological and epistemological perspectives,201,2005, Wiley Online Library, Science Education,https://onlinelibrary.wiley.com/doi/abs/10.1002/sce.20061,11
181,"Papasalouros, K Kanaris, K Kotis",Automatic Generation Of Multiple Choice Questions From Domain Ontologies.,179,2008, academia.edu,Learning,https://www.academia.edu/download/30816474/200805L055.pdf,11
130,"Jovanović, D Gašević, C Knight, G Richards",Ontologies for effective use of context in e-learning settings,165,2007, JSTOR, Journal of Educational …,https://www.jstor.org/stable/pdf/jeductechsoci.10.3.47.pdf,10
192,"Wang, PM Barnaghi…",Probabilistic topic models for learning terminological ontologies,144,2009, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/4912206/,10
139," Gero, U Kannengiesser",A function–behavior–structure ontology of processes,169,2007, cambridge.org, Ai Edam,https://www.cambridge.org/core/journals/ai-edam/article/functionbehaviorstructure-ontology-of-processes/7687EE9E449969814F2540BF8C0F7142,10
241,"Fortuna, M Grobelnik…",Ontogen: Semi-automatic ontology editor,167,2007, books.google.com, … 2007  Held as Part of HCI …,https://books.google.com/books?hl=en&lr=&id=8RcmycrSsyEC&oi=fnd&pg=PA309&dq=ontology+cognitive+learning&ots=HKTqIQ-amD&sig=AcNFYC1P_F_lXnml_126HQoylGU,10
183,"Font, JD Godino, B D'amore",An onto-semiotic approach to representations in mathematics education,176,2007, JSTOR, For the learning of mathematics,https://www.jstor.org/stable/40248564,10
210,"Ciaramita, A Gangemi, E Ratsch, J Saric, I Rojas",Unsupervised learning of semantic relations between concepts of a molecular biology ontology.,196,2005, academia.edu, IJCAI,https://www.academia.edu/download/86745339/1423.pdf,10
1, Chen,Ontology‐based concept map for planning a personalised learning path,145,2009, Wiley Online Library, British Journal of Educational Technology,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8535.2008.00892.x,10
20,"Isotani, A Inaba, M Ikeda, R Mizoguchi",An ontology engineering approach to the realization of theory-driven group formation,143,2009, Springer, … Collaborative Learning,https://link.springer.com/article/10.1007/s11412-009-9072-x,10
6," Bilder, FW Sabb, DS Parker, D Kalar…",Cognitive ontologies for neuropsychiatric phenomics research,147,2009, Taylor & Francis, Cognitive …,https://www.tandfonline.com/doi/abs/10.1080/13546800902787180,10
25,"Bera, A Burto",Guidelines for designing visual ontologies to support knowledge identification,124,2011, JSTOR, Mis Quarterly,https://www.jstor.org/stable/41409965,10
27," Scherr, HG Close, SB McKagan, S Vokos",Representing energy. I. Representing a substance ontology for energy,117,2012, APS, Physical Review Special Topics …,https://journals.aps.org/prper/abstract/10.1103/PhysRevSTPER.8.020114,10
87, Nguyen,Toward human digital twins for cybersecurity simulations on the metaverse: Ontological and network science approach,19,2022, xmed.jmir.org, JMIRx Med,https://xmed.jmir.org/2022/2/e33502,10
24," Falconer, MA Storey",A cognitive support framework for ontology mapping,165,2007, Springer, The Semantic Web: 6th International Semantic …,https://link.springer.com/chapter/10.1007/978-3-540-76298-0_9,10
91,"Guizzardi, CM Fonseca, JPA Almeida…",Types and taxonomic structures in conceptual modeling: A novel ontological theory and engineering support,26,2021, Elsevier, Data & Knowledge …,https://www.sciencedirect.com/science/article/pii/S0169023X21000185,9
174,"Wang, T Chin",A stratified system of knowledge and knowledge icebergs in cross-cultural business models: Synthesising ontological and epistemological views,36,2020, Elsevier, Journal of International Management,https://www.sciencedirect.com/science/article/pii/S1075425320302209,9
8," Maillot, M Thonnat",Ontology based complex object recognition,140,2008, Elsevier, Image and Vision Computing,https://www.sciencedirect.com/science/article/pii/S0262885606000667,9
223,"Gemino, Y Wand",Evaluating modeling techniques based on models of learning,192,2003, dl.acm.org, Communications of the ACM,https://dl.acm.org/doi/fullHtml/10.1145/944217.944243,9
227,"Kolyvakis, A Kalousis, B Smith, D Kiritsis",Biomedical ontology alignment: an approach based on representation learning,52,2018, Springer, Journal of biomedical …,https://link.springer.com/article/10.1186/s13326-018-0187-8,9
146," Brookes, E Etkina","“Force,” ontology, and language",114,2009, APS,Physics Education …,https://journals.aps.org/prper/abstract/10.1103/PhysRevSTPER.5.010110,8
28," Lee, KH Tsai, TI Wang",A practical ontology query expansion algorithm for semantic-aware learning objects retrieval,126,2008, Elsevier, Computers & Education,https://www.sciencedirect.com/science/article/pii/S0360131506001916,8
15,Brown,The ontological turn in education: The place of the learning environment,114,2009, Taylor & Francis, Journal of Critical Realism,https://www.tandfonline.com/doi/abs/10.1558/jocr.v8i1.5,8
35, Chi,Ontology-based curriculum content sequencing system with semantic rules,126,2009, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417408008312,8
222,Jashapara,The emerging discourse of knowledge management: a new dawn for information science research?,148,2005, journals.sagepub.com, Journal of information science,https://journals.sagepub.com/doi/pdf/10.1177/0165551505051057,8
40,"Yu, Y Nakamura, S Jang, S Kajita, K Mase",Ontology-based semantic recommendation for context-aware e-learning,138,2007, Springer, Ubiquitous Intelligence and …,https://link.springer.com/chapter/10.1007/978-3-540-73549-6_88,8
52,Bang,Towards an ethic of decolonial trans-ontologies in sociocultural theories of learning and development,58,2017, books.google.com, … and privilege in the learning sciences: Critical and …,https://books.google.com/books?hl=en&lr=&id=iCQlDwAAQBAJ&oi=fnd&pg=PA115&dq=ontology+cognitive+learning&ots=7DQs0jRIiQ&sig=xB6FXfAyQKe1yVtp3hku4ZYejNQ,8
83,Kay,Lifelong learner modeling for lifelong personalized pervasive learning,120,2008, ieeexplore.ieee.org, IEEE Transactions on Learning Technologies,https://ieeexplore.ieee.org/abstract/document/4770090/,8
208,"Fulop, A Mark","Relational leadership, decision-making and the messiness of context in healthcare",77,2013, journals.sagepub.com, Leadership,https://journals.sagepub.com/doi/pdf/10.1177/1742715012468785,7
141,"Linehan, D Kavanagh",From project ontologies to communities of virtue,133,2006, books.google.com, Making projects critical,https://books.google.com/books?hl=en&lr=&id=9ZpGEAAAQBAJ&oi=fnd&pg=PA51&dq=ontology+cognitive+learning&ots=iUsdF2yvH1&sig=4N2VFxYVym8HqE3HtjOS42Aqo48,7
113,"Maillot, M Thonnat, A Boucher",Towards ontology-based cognitive vision,147,2004, Springer, Machine Vision and Applications,https://link.springer.com/article/10.1007/s00138-004-0142-9,7
115,"Kim, T Matuszka, JI Kim, J Kim, W Woo",Ontology-based mobile augmented reality in cultural heritage sites: information modeling and user study,50,2017, Springer, Multimedia Tools and …,https://link.springer.com/article/10.1007/s11042-017-4868-6,7
56,"Bayat, J Bermej",Requirements for building an ontology for autonomous robots,48,2016, emerald.com, Industrial Robot: An …,https://www.emerald.com/insight/content/doi/10.1108/IR-02-2016-0059/full/html?utm_campaign=Emerald_Engineering_PPV_Dec22_RoN,6
55,Brey,The epistemology and ontology of human-computer interaction,123,2005, Springer, Minds and Machines,https://link.springer.com/article/10.1007/s11023-005-9003-1,6
36, Dinsmore,"Examining the ontological and epistemic assumptions of research on metacognition, self-regulation and self-regulated learning",37,2017, Taylor & Francis, Educational Psychology,https://www.tandfonline.com/doi/abs/10.1080/01443410.2017.1333575,5
73,"Saghafi, Y Wand",Do ontological guidelines improve understandability of conceptual models? a meta-analysis of empirical work,50,2014, ieeexplore.ieee.org, 2014 47th Hawaii International …,https://ieeexplore.ieee.org/abstract/document/6759168/,5
224,"Saleena, SK Srivatsa",Using concept similarity in cross ontology for adaptive e-Learning systems,48,2015, Elsevier,Computer and …,https://www.sciencedirect.com/science/article/pii/S1319157814000081,5
229,"Mizoguchi, J Bourdeau","Using ontological engineering to overcome AI-ED problems: Contribution, impact and perspectives",32,2016, Springer, International Journal of Artificial Intelligence in …,https://link.springer.com/article/10.1007/s40593-015-0077-5,4
32,"Yalcinalp, Y Gulbahar",Ontology and taxonomy design and development for personalised web‐based learning systems,56,2010, Wiley Online Library, British Journal of Educational …,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8535.2009.01049.x,4
4,"Baclawski, M Bennett, G Ber","Ontology Summit 2017 communiqué–AI, learning, reasoning and ontologies",27,2018, content.iospress.com, … Ontology,https://content.iospress.com/articles/applied-ontology/ao191,4
5," Costa, LN Salvador…",Evaluation of academic performance based on learning analytics and ontology: a systematic mapping study,21,2018, ieeexplore.ieee.org, 2018 IEEE Frontiers in …,https://ieeexplore.ieee.org/abstract/document/8658936/,4
47,"Takahashi, K Takahashi",Visualizing scientists' cognitive representation of materials data through the application of ontology,14,2019, ACS Publications, The journal of physical chemistry …,https://pubs.acs.org/doi/abs/10.1021/acs.jpclett.9b02976,3
108,Yolles,Implications for Beer's ontological system/metasystem dichotomy,57,2004, emerald.com, Kybernetes,https://www.emerald.com/insight/content/doi/10.1108/03684920410523670/full/html?utm_campaign=Emerald_Engineering_PPV_Dec22_RoN,3
2,Ignatow,Ontology and method in cognitive sociology,33,2014, Wiley Online Library, Sociological Forum,https://onlinelibrary.wiley.com/doi/abs/10.1111/socf.12131,3
3,"Holohan, M Melia, D McMullen…",The generation of e-learning exercise problems from subject ontologies,54,2006, ieeexplore.ieee.org, … on Advanced Learning …,https://ieeexplore.ieee.org/abstract/document/1652605/,3
22,"Bajenaru, I Smeureanu",AN ONTOLOGY BASED APPROACH FOR MODELING E-LEARNING IN HEALTHCARE HUMAN RESOURCE MANAGEMENT.,25,2015, search.ebscohost.com, Economic Computation & …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=0424267X&AN=101509445&h=v%2F2Da614l4FKiT11Wkty1hapJnmmS4oGiKO6f7oCH0oGm9MHP48dvBL0RTiMLhX2vlWJNLN9lSx2gOBvL3Q9Ug%3D%3D&crl=c,3
43,Gome,Integrative base ontology for the research analysis of Alzheimer's disease-related mild cognitive impairment,8,2021, frontiersin.org, Frontiers in …,https://www.frontiersin.org/articles/10.3389/fninf.2021.561691/full,3
169,Martíne,Aging neuro-behavior ontology,11,2020, content.iospress.com, … Ontology,https://content.iospress.com/articles/applied-ontology/ao200229,3
170,"Chauvin, D Genest, S Loiseau",Ontological cognitive map,25,2009, World Scientific, International Journal on Artificial …,https://www.worldscientific.com/doi/abs/10.1142/S0218213009000366,2
172,"Butler, F Scott, J Edwards",Evaluating organizational change: The role of ontology and epistemology,34,2003, repozytorium.kozminski.edu.pl, Journal of critical …,https://repozytorium.kozminski.edu.pl/system/files/195-722-1-PB.pdf,2
